District,Name,GEOID
10,Clayton H. Perry,48029121300
10,Clayton H. Perry,48029121905
10,Clayton H. Perry,48029120600
10,Clayton H. Perry,48029120800
10,Clayton H. Perry,48029120502
10,Clayton H. Perry,48029121121
10,Clayton H. Perry,48029120901
10,Clayton H. Perry,48029121812
10,Clayton H. Perry,48029121906
10,Clayton H. Perry,48029121501
10,Clayton H. Perry,48029121803
10,Clayton H. Perry,48029121120
10,Clayton H. Perry,48029121110
10,Clayton H. Perry,48029121811
10,Clayton H. Perry,48029121206
10,Clayton H. Perry,48029121909
10,Clayton H. Perry,48029121504
10,Clayton H. Perry,48029121205
10,Clayton H. Perry,48029121122
10,Clayton H. Perry,48029120400
10,Clayton H. Perry,48029121204
10,Clayton H. Perry,48029121111
10,Clayton H. Perry,48029121910
10,Clayton H. Perry,48029120702
10,Clayton H. Perry,48029121606
10,Clayton H. Perry,48029121000
10,Clayton H. Perry,48029121809
10,Clayton H. Perry,48029121802
10,Clayton H. Perry,48029980004
10,Clayton H. Perry,48029121118
10,Clayton H. Perry,48029120701
10,Clayton H. Perry,48029121804
10,Clayton H. Perry,48029120100
10,Clayton H. Perry,48029121117
10,Clayton H. Perry,48029121907
10,Clayton H. Perry,48029121115
10,Clayton H. Perry,48029121112
10,Clayton H. Perry,48029121813
10,Clayton H. Perry,48029120902
10,Clayton H. Perry,48029120300
10,Clayton H. Perry,48029121203
10,Clayton H. Perry,48029121108
10,Clayton H. Perry,48029121116
10,Clayton H. Perry,48029121119
10,Clayton H. Perry,48029121808
10,Clayton H. Perry,48029121810
10,Clayton H. Perry,48029121903
7,Ana E. Sandoval,48029181100
7,Ana E. Sandoval,48029180602
7,Ana E. Sandoval,48029180701
7,Ana E. Sandoval,48029181724
7,Ana E. Sandoval,48029181004
7,Ana E. Sandoval,48029181503
7,Ana E. Sandoval,48029181001
7,Ana E. Sandoval,48029180604
7,Ana E. Sandoval,48029181721
7,Ana E. Sandoval,48029181711
7,Ana E. Sandoval,48029190501
7,Ana E. Sandoval,48029171302
7,Ana E. Sandoval,48029181818
7,Ana E. Sandoval,48029181005
7,Ana E. Sandoval,48029180102
7,Ana E. Sandoval,48029181718
7,Ana E. Sandoval,48029181601
7,Ana E. Sandoval,48029180201
7,Ana E. Sandoval,48029170500
7,Ana E. Sandoval,48029181817
7,Ana E. Sandoval,48029180901
7,Ana E. Sandoval,48029181602
7,Ana E. Sandoval,48029180504
7,Ana E. Sandoval,48029181504
7,Ana E. Sandoval,48029181505
7,Ana E. Sandoval,48029181726
7,Ana E. Sandoval,48029180202
7,Ana E. Sandoval,48029170700
7,Ana E. Sandoval,48029180400
7,Ana E. Sandoval,48029181402
7,Ana E. Sandoval,48029171700
7,Ana E. Sandoval,48029181704
7,Ana E. Sandoval,48029171402
7,Ana E. Sandoval,48029171602
7,Ana E. Sandoval,48029180702
7,Ana E. Sandoval,48029181809
7,Ana E. Sandoval,48029180503
7,Ana E. Sandoval,48029180101
7,Ana E. Sandoval,48029181723
7,Ana E. Sandoval,48029181821
7,Ana E. Sandoval,48029181731
7,Ana E. Sandoval,48029181725
7,Ana E. Sandoval,48029170600
7,Ana E. Sandoval,48029181705
7,Ana E. Sandoval,48029180603
7,Ana E. Sandoval,48029181722
7,Ana E. Sandoval,48029180501
7,Ana E. Sandoval,48029181808
7,Ana E. Sandoval,48029180300
7,Ana E. Sandoval,48029181713
7,Ana E. Sandoval,48029181811
7,Ana E. Sandoval,48029181720
7,Ana E. Sandoval,48029181826
7,Ana E. Sandoval,48029181703
7,Ana E. Sandoval,48029181506
7,Ana E. Sandoval,48029180800
7,Ana E. Sandoval,48029181822
7,Ana E. Sandoval,48029171401
8,Manny Pelaez,48029181100
8,Manny Pelaez,48029181003
8,Manny Pelaez,48029180701
8,Manny Pelaez,48029181724
8,Manny Pelaez,48029181004
8,Manny Pelaez,48029181824
8,Manny Pelaez,48029181503
8,Manny Pelaez,48029181813
8,Manny Pelaez,48029181001
8,Manny Pelaez,48029181200
8,Manny Pelaez,48029181721
8,Manny Pelaez,48029181302
8,Manny Pelaez,48029181819
8,Manny Pelaez,48029181814
8,Manny Pelaez,48029181818
8,Manny Pelaez,48029181005
8,Manny Pelaez,48029191413
8,Manny Pelaez,48029191504
8,Manny Pelaez,48029181823
8,Manny Pelaez,48029181403
8,Manny Pelaez,48029191503
8,Manny Pelaez,48029191807
8,Manny Pelaez,48029181404
8,Manny Pelaez,48029181504
8,Manny Pelaez,48029181303
8,Manny Pelaez,48029191506
8,Manny Pelaez,48029181820
8,Manny Pelaez,48029181902
8,Manny Pelaez,48029181301
8,Manny Pelaez,48029191405
8,Manny Pelaez,48029181402
8,Manny Pelaez,48029180702
8,Manny Pelaez,48029181809
8,Manny Pelaez,48029182003
8,Manny Pelaez,48029182002
8,Manny Pelaez,48029181901
8,Manny Pelaez,48029181821
8,Manny Pelaez,48029181816
8,Manny Pelaez,48029182102
8,Manny Pelaez,48029181815
8,Manny Pelaez,48029182001
8,Manny Pelaez,48029181808
8,Manny Pelaez,48029191505
8,Manny Pelaez,48029181811
8,Manny Pelaez,48029181720
8,Manny Pelaez,48029181826
8,Manny Pelaez,48029181703
8,Manny Pelaez,48029181825
8,Manny Pelaez,48029980001
8,Manny Pelaez,48029181822
6,Melissa Cabello Havrda,48029171502
6,Melissa Cabello Havrda,48029171100
6,Melissa Cabello Havrda,48029172005
6,Melissa Cabello Havrda,48029171501
6,Melissa Cabello Havrda,48029181711
6,Melissa Cabello Havrda,48029171903
6,Melissa Cabello Havrda,48029171601
6,Melissa Cabello Havrda,48029171923
6,Melissa Cabello Havrda,48029171802
6,Melissa Cabello Havrda,48029181718
6,Melissa Cabello Havrda,48029181601
6,Melissa Cabello Havrda,48029181729
6,Melissa Cabello Havrda,48029171913
6,Melissa Cabello Havrda,48029171000
6,Melissa Cabello Havrda,48029181602
6,Melissa Cabello Havrda,48029180504
6,Melissa Cabello Havrda,48029171920
6,Melissa Cabello Havrda,48029171902
6,Melissa Cabello Havrda,48029171801
6,Melissa Cabello Havrda,48029181726
6,Melissa Cabello Havrda,48029181712
6,Melissa Cabello Havrda,48029181728
6,Melissa Cabello Havrda,48029181716
6,Melissa Cabello Havrda,48029980005
6,Melissa Cabello Havrda,48029171700
6,Melissa Cabello Havrda,48029181704
6,Melissa Cabello Havrda,48029171402
6,Melissa Cabello Havrda,48029171602
6,Melissa Cabello Havrda,48029181715
6,Melissa Cabello Havrda,48029180503
6,Melissa Cabello Havrda,48029181730
6,Melissa Cabello Havrda,48029171924
6,Melissa Cabello Havrda,48029181723
6,Melissa Cabello Havrda,48029172004
6,Melissa Cabello Havrda,48029181727
6,Melissa Cabello Havrda,48029181731
6,Melissa Cabello Havrda,48029181725
6,Melissa Cabello Havrda,48029181705
6,Melissa Cabello Havrda,48029171918
6,Melissa Cabello Havrda,48029181722
6,Melissa Cabello Havrda,48029172007
6,Melissa Cabello Havrda,48029171912
6,Melissa Cabello Havrda,48029182105
6,Melissa Cabello Havrda,48029161600
6,Melissa Cabello Havrda,48029171925
6,Melissa Cabello Havrda,48029181713
6,Melissa Cabello Havrda,48029171200
6,Melissa Cabello Havrda,48029160701
6,Melissa Cabello Havrda,48029182106
6,Melissa Cabello Havrda,48029171914
6,Melissa Cabello Havrda,48029171401
3,Phyllis Viagran,48029140700
3,Phyllis Viagran,48029140800
3,Phyllis Viagran,48029151000
3,Phyllis Viagran,48029140500
3,Phyllis Viagran,48029130300
3,Phyllis Viagran,48029141102
3,Phyllis Viagran,48029141403
3,Phyllis Viagran,48029151500
3,Phyllis Viagran,48029141402
3,Phyllis Viagran,48029140100
3,Phyllis Viagran,48029151400
3,Phyllis Viagran,48029141000
3,Phyllis Viagran,48029150900
3,Phyllis Viagran,48029192100
3,Phyllis Viagran,48029150600
3,Phyllis Viagran,48029131200
3,Phyllis Viagran,48029140300
3,Phyllis Viagran,48029131100
3,Phyllis Viagran,48029141404
3,Phyllis Viagran,48029140400
3,Phyllis Viagran,48029151700
3,Phyllis Viagran,48029141900
3,Phyllis Viagran,48029150502
3,Phyllis Viagran,48029150800
3,Phyllis Viagran,48029151301
3,Phyllis Viagran,48029140200
3,Phyllis Viagran,48029152201
3,Phyllis Viagran,48029140900
3,Phyllis Viagran,48029152000
3,Phyllis Viagran,48029151900
3,Phyllis Viagran,48029131401
3,Phyllis Viagran,48029152202
3,Phyllis Viagran,48029152100
3,Phyllis Viagran,48029141300
3,Phyllis Viagran,48029141200
3,Phyllis Viagran,48029131402
3,Phyllis Viagran,48029151600
3,Phyllis Viagran,48029192200
3,Phyllis Viagran,48029130402
3,Phyllis Viagran,48029141800
3,Phyllis Viagran,48029130401
3,Phyllis Viagran,48029140600
3,Phyllis Viagran,48029131300
3,Phyllis Viagran,48029151100
3,Phyllis Viagran,48029150700
3,Phyllis Viagran,48029141600
3,Phyllis Viagran,48029141700
3,Phyllis Viagran,48029150300
3,Phyllis Viagran,48029151302
3,Phyllis Viagran,48029141101
9,John Courage,48029181100
9,John Courage,48029121905
9,John Courage,48029181001
9,John Courage,48029191408
9,John Courage,48029191701
9,John Courage,48029181200
9,John Courage,48029191304
9,John Courage,48029121906
9,John Courage,48029181302
9,John Courage,48029121120
9,John Courage,48029191811
9,John Courage,48029191816
9,John Courage,48029191413
9,John Courage,48029191504
9,John Courage,48029191410
9,John Courage,48029191807
9,John Courage,48029191506
9,John Courage,48029121910
9,John Courage,48029121000
9,John Courage,48029191813
9,John Courage,48029191814
9,John Courage,48029191817
9,John Courage,48029191303
9,John Courage,48029980004
9,John Courage,48029191406
9,John Courage,48029191809
9,John Courage,48029181301
9,John Courage,48029191405
9,John Courage,48029191412
9,John Courage,48029191409
9,John Courage,48029191808
9,John Courage,48029191812
9,John Courage,48029191201
9,John Courage,48029121118
9,John Courage,48029191411
9,John Courage,48029121908
9,John Courage,48029191702
9,John Courage,48029191815
9,John Courage,48029121117
9,John Courage,48029121907
9,John Courage,48029121115
9,John Courage,48029191505
9,John Courage,48029191810
9,John Courage,48029191806
9,John Courage,48029121904
9,John Courage,48029191202
9,John Courage,48029191804
9,John Courage,48029121108
9,John Courage,48029121116
9,John Courage,48029121119
9,John Courage,48029980001
9,John Courage,48029192300
9,John Courage,48029121903
9,John Courage,48029191101
2,Jalen McKee-Rodriguez,48029131505
2,Jalen McKee-Rodriguez,48029140500
